Reviews,Class
feel lucky found used phone us used hard all line someone upgraded sold one my son liked old finally fell apart years want upgrade thank seller really appreciate honesty re said used phone i recommend seller highly would again,1
nice phone nice grade pantach revue very clean set easy set up never android fantastic say least perfect size surfing social media samsung,1
very pleased,1
works goes slow sometimes love,1
great replace lost thing volume button work still go settings adjust other that job eligible upgrade again thaanks,1
already problems know stated used dang state charge wish would read comments would purchased item cracked side damaged goods is if trying charge another way work requesting money back and will get my money back signed an unhappy customer,0
charging port loose got soldered in then needed new battery well later not including cost purchase usable sold state in,0
phone looks stay charged buy new battery still stay charged long so trashed it money lost never buy person,0
originally using samsung s galaxy sprint wanted return back samsung epic g sprint really missed keyboard really liked smaller compact size phone still needed basic functions smart i e checking e mail getting directions text messaging because powerful newer cell phones there aware applications install slower runs likely freeze time time but camera works great video well even web browsing decent gives need also notice battery life lasts little bit longer charging much quicker galaxy s,1
it s battery life great it s responsive touch issue sometimes screen goes black press top button several times get screen re illuminate,0
my fiance previously caused many problems so course decided browse amazon replacement til contract up far good,0
product came two days ordering it there little blemish side but cares long fullly functional i recommend product anyone reading this,1
these guys best little situation item quickly fixed issue pleased definitely buying another phon need one,1
i m really disappointed service went week ago instead handling issue first surfaced i ve told that now i m stick i m dollars service i m using still received mailing label return item first purchase amazon i m rushing use smartphones business anytime soon thought getting deal seems i m lucked out,0
ordered replacement model contract expires get new one seller confirmation said delivery could take days seller sent within hours receiving order next day phone looks better described able transfer data old new problems highly recommend seller,1
had loved working got one thing sd card slot open try access file managment even show computer card fine able open another trying trouble shoot now,0
able get previously owned with keyboard touch screen it s best love it still clean device service provider well worth it,1
brought replacement daughter hard cell phones must say purchase work wonderful thank,1
love everything need works great purchased four phones seller shipped amazon s warehouse my problem come micro sd card use camera got card no problems getting activated sprint,1
unfortunately sprint could activate due blocking issue phone matter handled well quickly very satisfied service,0
battery old used barely holds charge otherwise issues itself,1
pros beautiful screen capable running chrome take pictures the keyboard comfy fits pocket fit hands plays really videos gamescons no bluetooth came late run fast really quick doesnt play p videos but would still recommend talk text lot watch lot movies,1
purchased december christmas present son called sprint activate find esn clear told come store upon research clear reached company inform esn clean told send back would send another asked representative provide esn could call make sure clear told available guaranteed would clear known something wrong then received second turned clear esn representative sprint informed seller phones aware esn clear so send another back asked refund shipping since sent two phones clear esn received refund yet see refund shipping suggest buy anything them,0
phone little slow old temporary right now thank deal,1
phone s speaker little low overall happy would purchase another cell chubbietech satisfied,1
condition my daughter happy andriod user,1
reasons star rating opinion better iphone s tends randomly crash randomly power storage space battery usage camera,0
phone works great no problems,1
condition work,0
just good screen resolution storage low need sd card anything may clear esn expect use things freedompop,0
described fast ship,1
perfect every way,1
one phones bad charger port want send back,0
just got it s easy use,1
gotten old time replacement it lasted,1
came condition great price brings back memories owning phone,1
met expectations can t complain all great price,1
phone working on planning use whatsapp anyway oh problem can t change idiom,1
